gene_entry,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
Abcc3,B2RX12,MRP3_MOUSE,reviewed,Canalicular multispecific organic anion transporter 2 (ATP-binding cassette sub-family C member 3) (Multidrug resistance-associated protein 3),Abcc3 Cmoat2 Mrp3,Mus musculus (Mouse),1523
Abcg1,Q64343,ABCG1_MOUSE,reviewed,ATP-binding cassette sub-family G member 1 (EC 7.6.2.-) (ATP-binding cassette transporter 8) (White protein homolog),Abcg1 Abc8 Wht1,Mus musculus (Mouse),666
Abhd12,Q99LR1,ABD12_MOUSE,reviewed,Lysophosphatidylserine lipase ABHD12 (EC 3.1.1.-) (2-arachidonoylglycerol hydrolase ABHD12) (Abhydrolase domain-containing protein 12) (Monoacylglycerol lipase ABHD12) (EC 3.1.1.23) (Oxidized phosphatidylserine lipase ABHD12) (EC 3.1.-.-),Abhd12,Mus musculus (Mouse),398
Abhd13,Q80UX8,ABHDD_MOUSE,reviewed,Protein ABHD13 (EC 3.-.-.-) (Alpha/beta hydrolase domain-containing protein 13) (Abhydrolase domain-containing protein 13),Abhd13,Mus musculus (Mouse),337
Abhd17a,Q99JW1,AB17A_MOUSE,reviewed,Alpha/beta hydrolase domain-containing protein 17A (Abhydrolase domain-containing protein 17A) (EC 3.1.2.22),Abhd17a D10Bwg1364e,Mus musculus (Mouse),310
Abhd17b,Q7M759,AB17B_MOUSE,reviewed,Alpha/beta hydrolase domain-containing protein 17B (Abhydrolase domain-containing protein 17B) (EC 3.1.2.22),Abhd17b,Mus musculus (Mouse),288
Abhd17c,Q8VCV1,AB17C_MOUSE,reviewed,Alpha/beta hydrolase domain-containing protein 17C (Abhydrolase domain-containing protein 17C) (EC 3.1.2.22),Abhd17c,Mus musculus (Mouse),320
Abhd2,Q9QXM0,ABHD2_MOUSE,reviewed,Monoacylglycerol lipase ABHD2 (EC 3.1.1.23) (2-arachidonoylglycerol hydrolase) (Abhydrolase domain-containing protein 2) (Acetylesterase) (EC 3.1.1.6) (Lung alpha/beta hydrolase 2) (MmLABH2) (Triacylglycerol lipase) (EC 3.1.1.79),Abhd2 Labh-2 Labh2,Mus musculus (Mouse),425
Abl1,P00520,ABL1_MOUSE,reviewed,Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150),Abl1 Abl,Mus musculus (Mouse),1123
Ablim1,Q8K4G5,ABLM1_MOUSE,reviewed,Actin-binding LIM protein 1 (abLIM-1) (Actin-binding LIM protein family member 1),Ablim1 Ablim Kiaa0059,Mus musculus (Mouse),861
Abr,Q5SSL4,ABR_MOUSE,reviewed,Active breakpoint cluster region-related protein,Abr,Mus musculus (Mouse),859
Abracl,Q4KML4,ABRAL_MOUSE,reviewed,Costars family protein ABRACL (ABRA C-terminal-like protein),Abracl,Mus musculus (Mouse),81
Abtb2,Q7TQI7,ABTB2_MOUSE,reviewed,Ankyrin repeat and BTB/POZ domain-containing protein 2,Abtb2,Mus musculus (Mouse),1024
Acaa1a,Q921H8,THIKA_MOUSE,reviewed,"3-ketoacyl-CoA thiolase A, peroxisomal (EC 2.3.1.16) (Acetyl-CoA acyltransferase A) (Beta-ketothiolase A) (Peroxisomal 3-oxoacyl-CoA thiolase A)",Acaa1a Acaa1,Mus musculus (Mouse),424
Acadl,P51174,ACADL_MOUSE,reviewed,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial (LCAD) (EC 1.3.8.8)",Acadl,Mus musculus (Mouse),430
Acap2,Q6ZQK5,ACAP2_MOUSE,reviewed,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 (Centaurin-beta-2) (Cnt-b2)",Acap2 Centb2 Kiaa0041,Mus musculus (Mouse),770
Acat1,Q8QZT1,THIL_MOUSE,reviewed,"Acetyl-CoA acetyltransferase, mitochondrial (EC 2.3.1.9) (Acetoacetyl-CoA thiolase)",Acat1,Mus musculus (Mouse),424
Acat2,O88908,SOAT2_MOUSE,reviewed,Sterol O-acyltransferase 2 (EC 2.3.1.26) (Acyl-coenzyme A:cholesterol acyltransferase 2) (ACAT-2) (Cholesterol acyltransferase 2),Soat2 Acact-2 Acat2,Mus musculus (Mouse),525
Acat2,Q8CAY6,THIC_MOUSE,reviewed,"Acetyl-CoA acetyltransferase, cytosolic (EC 2.3.1.9) (Cytosolic acetoacetyl-CoA thiolase)",Acat2,Mus musculus (Mouse),397
Acly,Q91V92,ACLY_MOUSE,reviewed,ATP-citrate synthase (EC 2.3.3.8) (ATP-citrate (pro-S-)-lyase) (Citrate cleavage enzyme),Acly,Mus musculus (Mouse),1091
Aco2,Q99KI0,ACON_MOUSE,reviewed,"Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)",Aco2,Mus musculus (Mouse),780
Acox1,Q9R0H0,ACOX1_MOUSE,reviewed,"Peroxisomal acyl-coenzyme A oxidase 1 (AOX) (EC 1.3.3.6) (Palmitoyl-CoA oxidase) [Cleaved into: Peroxisomal acyl-CoA oxidase 1, A chain; Peroxisomal acyl-CoA oxidase 1, B chain; Peroxisomal acyl-CoA oxidase 1, C chain]",Acox1 Acox Paox,Mus musculus (Mouse),661
Acox3,Q9EPL9,ACOX3_MOUSE,reviewed,Peroxisomal acyl-coenzyme A oxidase 3 (EC 1.3.3.6) (Branched-chain acyl-CoA oxidase) (BRCACox) (Pristanoyl-CoA oxidase),Acox3,Mus musculus (Mouse),700
Acsf2,Q8VCW8,ACSF2_MOUSE,reviewed,"Medium-chain acyl-CoA ligase ACSF2, mitochondrial (EC 6.2.1.2)",Acsf2,Mus musculus (Mouse),615
Acsl1,P41216,ACSL1_MOUSE,reviewed,Long-chain-fatty-acid--CoA ligase 1 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 1) (LACS 1) (Phytanate--CoA ligase) (EC 6.2.1.24),Acsl1 Acsl2 Facl2,Mus musculus (Mouse),699
Acsl3,Q9CZW4,ACSL3_MOUSE,reviewed,Long-chain-fatty-acid--CoA ligase 3 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 3) (LACS 3),Acsl3 Acs3 Facl3,Mus musculus (Mouse),720
Acsl4,Q9QUJ7,ACSL4_MOUSE,reviewed,Long-chain-fatty-acid--CoA ligase 4 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 4) (LACS 4) (mACS4),Acsl4 Acs4 Facl4,Mus musculus (Mouse),711
Actb,P60710,ACTB_MOUSE,reviewed,"Actin, cytoplasmic 1 (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]",Actb,Mus musculus (Mouse),375
Actn1,Q7TPR4,ACTN1_MOUSE,reviewed,Alpha-actinin-1 (Alpha-actinin cytoskeletal isoform) (F-actin cross-linking protein) (Non-muscle alpha-actinin-1),Actn1,Mus musculus (Mouse),892
Actn4,P57780,ACTN4_MOUSE,reviewed,Alpha-actinin-4 (Non-muscle alpha-actinin 4),Actn4,Mus musculus (Mouse),912
Actr1a,P61164,ACTZ_MOUSE,reviewed,Alpha-centractin (Centractin) (ARP1) (Actin-RPV) (Centrosome-associated actin homolog),Actr1a Ctrn1,Mus musculus (Mouse),376
Actr2,P61161,ARP2_MOUSE,reviewed,Actin-related protein 2 (Actin-like protein 2),Actr2 Arp2,Mus musculus (Mouse),394
Actr3,Q99JY9,ARP3_MOUSE,reviewed,Actin-related protein 3 (Actin-like protein 3),Actr3 Arp3,Mus musculus (Mouse),418
Acvr1,P37172,ACVR1_MOUSE,reviewed,Activin receptor type-1 (EC 2.7.11.30) (Activin receptor type I) (ACTR-I) (Serine/threonine-protein kinase receptor R1) (SKR1) (TGF-B superfamily receptor type I) (TSR-I) (TSK-7L),Acvr1 Acvrlk2 Tgfb1,Mus musculus (Mouse),509
Acvr1b,Q61271,ACV1B_MOUSE,reviewed,Activin receptor type-1B (EC 2.7.11.30) (Activin receptor type IB) (ACTR-IB) (Activin receptor-like kinase 4) (ALK-4) (Serine/threonine-protein kinase receptor R2) (SKR2),Acvr1b Alk4,Mus musculus (Mouse),505
Adam10,O35598,ADA10_MOUSE,reviewed,Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10) (EC 3.4.24.81) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease) (CD antigen CD156c),Adam10 Kuz Madm,Mus musculus (Mouse),749
Adam17,Q9Z0F8,ADA17_MOUSE,reviewed,Disintegrin and metalloproteinase domain-containing protein 17 (ADAM 17) (EC 3.4.24.86) (TNF-alpha convertase) (TNF-alpha-converting enzyme) (CD antigen CD156b),Adam17 Tace,Mus musculus (Mouse),827
Adam19,O35674,ADA19_MOUSE,reviewed,Disintegrin and metalloproteinase domain-containing protein 19 (ADAM 19) (EC 3.4.24.-) (Meltrin-beta),Adam19 Mltnb,Mus musculus (Mouse),920
Adamdec1,Q9R0X2,ADEC1_MOUSE,reviewed,ADAM DEC1 (EC 3.4.24.-) (A disintegrin and metalloproteinase domain-like protein decysin-1) (ADAM-like protein decysin-1),Adamdec1,Mus musculus (Mouse),467
Adamts1,P97857,ATS1_MOUSE,reviewed,A disintegrin and metalloproteinase with thrombospondin motifs 1 (ADAM-TS 1) (ADAM-TS1) (ADAMTS-1) (EC 3.4.24.-),Adamts1,Mus musculus (Mouse),968
Adcy6,Q01341,ADCY6_MOUSE,reviewed,Adenylate cyclase type 6 (EC 4.6.1.1) (ATP pyrophosphate-lyase 6) (Adenylate cyclase type VI) (Adenylyl cyclase 6) (AC6) (Ca(2+)-inhibitable adenylyl cyclase),Adcy6,Mus musculus (Mouse),1165
Add1,Q9QYC0,ADDA_MOUSE,reviewed,Alpha-adducin (Erythrocyte adducin subunit alpha),Add1,Mus musculus (Mouse),735
Adgrg1,Q8K209,AGRG1_MOUSE,reviewed,Adhesion G-protein coupled receptor G1 (G-protein coupled receptor 56) (Serpentine receptor cyt28) [Cleaved into: ADGRG1 N-terminal fragment (ADGRG1 NT) (GPR56 N-terminal fragment) (GPR56 NT) (GPR56(N)) (GPR56 extracellular subunit) (GPR56 subunit alpha); ADGRG1 C-terminal fragment (ADGRG1-CT) (GPR56 C-terminal fragment) (GPR56 CT) (GPR56(C)) (GPR56 seven-transmembrane subunit) (GPR56 7TM) (GPR56 subunit beta)],Adgrg1 Cyt28 Gpr56,Mus musculus (Mouse),687
Adgrl2,Q8JZZ7,AGRL2_MOUSE,reviewed,Adhesion G protein-coupled receptor L2 (Calcium-independent alpha-latrotoxin receptor 2) (CIRL-2) (Latrophilin-2),Adgrl2 Kiaa0786 Lphn2,Mus musculus (Mouse),1487
Adh1,P00329,ADH1_MOUSE,reviewed,Alcohol dehydrogenase 1 (EC 1.1.1.1) (ADH-A2) (Alcohol dehydrogenase A subunit),Adh1 Adh-1,Mus musculus (Mouse),375
Adh5,P28474,ADHX_MOUSE,reviewed,Alcohol dehydrogenase class-3 (EC 1.1.1.1) (Alcohol dehydrogenase 2) (Alcohol dehydrogenase 5) (Alcohol dehydrogenase B2) (ADH-B2) (Alcohol dehydrogenase class-III) (Glutathione-dependent formaldehyde dehydrogenase) (FALDH) (FDH) (GSH-FDH) (EC 1.1.1.-) (S-(hydroxymethyl)glutathione dehydrogenase) (EC 1.1.1.284),Adh5 Adh-2 Adh2,Mus musculus (Mouse),374
Adi1,Q99JT9,MTND_MOUSE,reviewed,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase (EC 1.13.11.54) (Acireductone dioxygenase (Fe(2+)-requiring)) (ARD) (Fe-ARD) (Membrane-type 1 matrix metalloproteinase cytoplasmic tail-binding protein 1) (MTCBP-1)",Adi1 Mtcbp1,Mus musculus (Mouse),179
Adipor1,Q91VH1,PAQR1_MOUSE,reviewed,Adiponectin receptor protein 1 (Progestin and adipoQ receptor family member 1) (Progestin and adipoQ receptor family member I),Adipor1 Parq1,Mus musculus (Mouse),375
Adipor2,Q8BQS5,PAQR2_MOUSE,reviewed,Adiponectin receptor protein 2 (Progestin and adipoQ receptor family member 2) (Progestin and adipoQ receptor family member II),Adipor2 D6Ucla1e Parq2,Mus musculus (Mouse),386
Adk,P55264,ADK_MOUSE,reviewed,Adenosine kinase (AK) (EC 2.7.1.20) (Adenosine 5'-phosphotransferase),Adk,Mus musculus (Mouse),361
Adnp,Q9Z103,ADNP_MOUSE,reviewed,Activity-dependent neuroprotector homeobox protein (Activity-dependent neuroprotective protein),Adnp,Mus musculus (Mouse),1108
Adprh,P54923,ADPRH_MOUSE,reviewed,[Protein ADP-ribosylarginine] hydrolase (ADP-ribosylarginine hydrolase) (EC 3.2.2.19) (ADP-ribose-L-arginine cleaving enzyme),Adprh Arh1,Mus musculus (Mouse),362
Adra2a,Q01338,ADA2A_MOUSE,reviewed,Alpha-2A adrenergic receptor (Alpha-2A adrenoreceptor) (Alpha-2A adrenoceptor) (Alpha-2AAR),Adra2a,Mus musculus (Mouse),450
Adss,P46664,PURA2_MOUSE,reviewed,"Adenylosuccinate synthetase isozyme 2 (AMPSase 2) (AdSS 2) (EC 6.3.4.4) (Adenylosuccinate synthetase, acidic isozyme) (Adenylosuccinate synthetase, liver isozyme) (L-type adenylosuccinate synthetase) (IMP--aspartate ligase 2)",Adss2 Adss,Mus musculus (Mouse),456
Aebp2,Q9Z248,AEBP2_MOUSE,reviewed,Zinc finger protein AEBP2 (Adipocyte enhancer-binding protein 2) (AE-binding protein 2),Aebp2,Mus musculus (Mouse),504
Aff1,O88573,AFF1_MOUSE,reviewed,AF4/FMR2 family member 1 (Proto-oncogene AF4) (Protein AF-4),Aff1 Mllt2 Mllt2h,Mus musculus (Mouse),1216
Aff3,P51827,AFF3_MOUSE,reviewed,AF4/FMR2 family member 3 (Lymphoid nuclear protein related to AF4) (Protein LAF-4),Aff3 Laf4,Mus musculus (Mouse),1254
Aff4,Q9ESC8,AFF4_MOUSE,reviewed,AF4/FMR2 family member 4,Aff4 Alf4,Mus musculus (Mouse),1160
Afg3l1,Q920A7,AFG31_MOUSE,reviewed,AFG3-like protein 1 (EC 3.4.24.-),Afg3l1,Mus musculus (Mouse),789
Afg3l2,Q8JZQ2,AFG32_MOUSE,reviewed,AFG3-like protein 2 (EC 3.4.24.-),Afg3l2,Mus musculus (Mouse),802
Aftph,Q80WT5,AFTIN_MOUSE,reviewed,Aftiphilin,Aftph Afth,Mus musculus (Mouse),931
Agap1,Q8BXK8,AGAP1_MOUSE,reviewed,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1 (AGAP-1) (Centaurin-gamma-2) (Cnt-g2)",Agap1 Centg2 Kiaa1099,Mus musculus (Mouse),857
Agfg1,Q8K2K6,AGFG1_MOUSE,reviewed,Arf-GAP domain and FG repeat-containing protein 1 (HIV-1 Rev-binding protein homolog) (Nucleoporin-like protein RIP),Agfg1 Hrb Rip,Mus musculus (Mouse),561
Ago1,Q8CJG1,AGO1_MOUSE,reviewed,Protein argonaute-1 (Argonaute1) (mAgo1) (Argonaute RISC catalytic component 1) (Eukaryotic translation initiation factor 2C 1) (eIF-2C 1) (eIF2C 1) (Piwi/argonaute family protein meIF2C1),Ago1 Eif2c1,Mus musculus (Mouse),857
Ago2,Q8CJG0,AGO2_MOUSE,reviewed,Protein argonaute-2 (Argonaute2) (mAgo2) (EC 3.1.26.n2) (Argonaute RISC catalytic component 2) (Eukaryotic translation initiation factor 2C 2) (eIF-2C 2) (eIF2C 2) (Piwi/argonaute family protein meIF2C2) (Protein slicer),Ago2 Eif2c2 Kiaa4215,Mus musculus (Mouse),860
Ago3,Q8CJF9,AGO3_MOUSE,reviewed,Protein argonaute-3 (Argonaute3) (mAgo3) (EC 3.1.26.n2) (Argonaute RISC catalytic component 3) (Eukaryotic translation initiation factor 2C 3) (eIF-2C 3) (eIF2C 3) (Piwi/argonaute family protein meIF2C3),Ago3 Eif2c3,Mus musculus (Mouse),860
Agpat3,Q9D517,PLCC_MOUSE,reviewed,1-acyl-sn-glycerol-3-phosphate acyltransferase gamma (EC 2.3.1.51) (1-acylglycerol-3-phosphate O-acyltransferase 3) (1-AGP acyltransferase 3) (1-AGPAT 3) (Lysophosphatidic acid acyltransferase gamma) (LPAAT-gamma),Agpat3 Lpaat3,Mus musculus (Mouse),376
Agpat4,Q8K4X7,PLCD_MOUSE,reviewed,1-acyl-sn-glycerol-3-phosphate acyltransferase delta (EC 2.3.1.51) (1-acylglycerol-3-phosphate O-acyltransferase 4) (1-AGP acyltransferase 4) (1-AGPAT 4) (Lysophosphatidic acid acyltransferase delta) (LPAAT-delta),Agpat4,Mus musculus (Mouse),378
Agpat5,Q9D1E8,PLCE_MOUSE,reviewed,1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon (EC 2.3.1.51) (1-acylglycerol-3-phosphate O-acyltransferase 5) (1-AGP acyltransferase 5) (1-AGPAT 5) (Lysophosphatidic acid acyltransferase epsilon) (LPAAT-epsilon),Agpat5 D8Ertd319e,Mus musculus (Mouse),365
Agps,Q8C0I1,ADAS_MOUSE,reviewed,"Alkyldihydroxyacetonephosphate synthase, peroxisomal (Alkyl-DHAP synthase) (EC 2.5.1.26) (Alkylglycerone-phosphate synthase)",Agps,Mus musculus (Mouse),645
Agrn,A2ASQ1,AGRIN_MOUSE,reviewed,Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)],Agrn Agrin,Mus musculus (Mouse),1950
Ahcyl1,Q80SW1,SAHH2_MOUSE,reviewed,"S-adenosylhomocysteine hydrolase-like protein 1 (IP3R-binding protein released with inositol 1,4,5-trisphosphate) (Putative adenosylhomocysteinase 2) (S-adenosyl-L-homocysteine hydrolase 2) (AdoHcyase 2)",Ahcyl1 Irbit,Mus musculus (Mouse),530
Ahcyl2,Q68FL4,SAHH3_MOUSE,reviewed,Putative adenosylhomocysteinase 3 (AdoHcyase 3) (EC 3.3.1.1) (Long-IRBIT) (S-adenosyl-L-homocysteine hydrolase 3) (S-adenosylhomocysteine hydrolase-like protein 2),Ahcyl2,Mus musculus (Mouse),613
Aim1,O70126,AURKB_MOUSE,reviewed,Aurora kinase B (EC 2.7.11.1) (Aurora 1) (Aurora- and IPL1-like midbody-associated protein 1) (Aurora/IPL1-related kinase 2) (ARK-2) (Aurora-related kinase 2) (STK-1) (Serine/threonine-protein kinase 12) (Serine/threonine-protein kinase 5) (Serine/threonine-protein kinase aurora-B),Aurkb Aik2 Aim1 Airk2 Ark2 Stk1 Stk12 Stk5,Mus musculus (Mouse),345
Aim1,P58355,S45A2_MOUSE,reviewed,Membrane-associated transporter protein (Melanoma antigen AIM1) (Protein AIM-1) (Protein underwhite) (Solute carrier family 45 member 2),Slc45a2 Aim1 Matp uw,Mus musculus (Mouse),530
Aim2,Q91VJ1,AIM2_MOUSE,reviewed,Interferon-inducible protein AIM2 (Interferon-inducible protein 210) (Ifi-210) (Interferon-inducible protein p210),Aim2 Gm1313 Ifi210,Mus musculus (Mouse),354
Ak2,Q9WTP6,KAD2_MOUSE,reviewed,"Adenylate kinase 2, mitochondrial (AK 2) (EC 2.7.4.3) (ATP-AMP transphosphorylase 2) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)",Ak2,Mus musculus (Mouse),239
Ak3,Q9WTP7,KAD3_MOUSE,reviewed,"GTP:AMP phosphotransferase AK3, mitochondrial (EC 2.7.4.10) (Adenylate kinase 3) (AK 3) (Adenylate kinase 3 alpha-like 1)",Ak3 Ak3l Ak3l1 Akl3l,Mus musculus (Mouse),227
Ak4,Q9WUR9,KAD4_MOUSE,reviewed,"Adenylate kinase 4, mitochondrial (AK 4) (EC 2.7.4.10) (EC 2.7.4.6) (Adenylate kinase 3-like) (Adenylate kinase isoenzyme 4) (GTP:AMP phosphotransferase AK4)",Ak4 Ak-4 Ak3b Ak3l1,Mus musculus (Mouse),223
Akap13,E9Q394,AKP13_MOUSE,reviewed,A-kinase anchor protein 13 (AKAP-13) (AKAP-Lbc),Akap13 Brx,Mus musculus (Mouse),2776
Akap7,O55074,AKA7A_MOUSE,reviewed,A-kinase anchor protein 7 isoform alpha (AKAP-7 isoform alpha) (A-kinase anchor protein 18) (AKAP-18) (A-kinase anchor protein 9 kDa) (AKAP 9) (Protein kinase A-anchoring protein 7 isoform alpha) (PRKA7 isoform alpha),Akap7 Akap18,Mus musculus (Mouse),81
Akap7,Q7TN79,AKA7G_MOUSE,reviewed,A-kinase anchor protein 7 isoform gamma (AKAP-7 isoform gamma) (A-kinase anchor protein 18) (AKAP-18) (Protein kinase A-anchoring protein 7 isoform gamma) (PRKA7 isoform gamma),Akap7 Akap18,Mus musculus (Mouse),314
Akap9,Q70FJ1,AKAP9_MOUSE,reviewed,A-kinase anchor protein 9 (AKAP-9) (Protein kinase A-anchoring protein 9) (PRKA9),Akap9 Kiaa0803,Mus musculus (Mouse),3797
Akt1,P31750,AKT1_MOUSE,reviewed,RAC-alpha serine/threonine-protein kinase (EC 2.7.11.1) (AKT1 kinase) (Protein kinase B) (PKB) (Protein kinase B alpha) (PKB alpha) (Proto-oncogene c-Akt) (RAC-PK-alpha) (Thymoma viral proto-oncogene),Akt1 Akt Rac,Mus musculus (Mouse),480
Akt2,Q60823,AKT2_MOUSE,reviewed,RAC-beta serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-2) (Protein kinase B beta) (PKB beta) (RAC-PK-beta),Akt2,Mus musculus (Mouse),481
Alas1,Q8VC19,HEM1_MOUSE,reviewed,"5-aminolevulinate synthase, nonspecific, mitochondrial (ALAS-H) (EC 2.3.1.37) (5-aminolevulinic acid synthase 1) (Delta-ALA synthase 1) (Delta-aminolevulinate synthase 1)",Alas1,Mus musculus (Mouse),642
Alcam,Q61490,CD166_MOUSE,reviewed,CD166 antigen (Activated leukocyte cell adhesion molecule) (BEN) (Protein DM-GRASP) (CD antigen CD166),Alcam,Mus musculus (Mouse),583
Aldh1a3,Q9JHW9,AL1A3_MOUSE,reviewed,Aldehyde dehydrogenase family 1 member A3 (EC 1.2.1.36) (Aldehyde dehydrogenase 6) (Retinaldehyde dehydrogenase 3) (RALDH-3) (RalDH3),Aldh1a3 Aldh6 Raldh3,Mus musculus (Mouse),512
Aldh1b1,Q9CZS1,AL1B1_MOUSE,reviewed,"Aldehyde dehydrogenase X, mitochondrial (EC 1.2.1.3) (Aldehyde dehydrogenase family 1 member B1)",Aldh1b1 Aldhx,Mus musculus (Mouse),519
Aldoa,P05064,ALDOA_MOUSE,reviewed,Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Aldolase 1) (Muscle-type aldolase),Aldoa Aldo1,Mus musculus (Mouse),364
Aldoc,P05063,ALDOC_MOUSE,reviewed,Fructose-bisphosphate aldolase C (EC 4.1.2.13) (Aldolase 3) (Brain-type aldolase) (Scrapie-responsive protein 2) (Zebrin II),Aldoc Aldo3 Scrg2,Mus musculus (Mouse),363
Alkbh5,Q3TSG4,ALKB5_MOUSE,reviewed,RNA demethylase ALKBH5 (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 5) (Alpha-ketoglutarate-dependent dioxygenase alkB homolog 5),Alkbh5 Abh5 Ofoxd,Mus musculus (Mouse),395
Als2cl,Q60I26,AL2CL_MOUSE,reviewed,ALS2 C-terminal-like protein,Als2cl,Mus musculus (Mouse),952
Amer1,Q7TS75,AMER1_MOUSE,reviewed,APC membrane recruitment protein 1 (Amer1) (Protein FAM123B),Amer1 Fam123b,Mus musculus (Mouse),1132
Amfr,Q9R049,AMFR_MOUSE,reviewed,E3 ubiquitin-protein ligase AMFR (EC 2.3.2.27) (Autocrine motility factor receptor) (AMF receptor) (RING-type E3 ubiquitin transferase AMFR),Amfr,Mus musculus (Mouse),643
Ammecr1,Q9JHT5,AMMR1_MOUSE,reviewed,AMME syndrome candidate gene 1 protein homolog,Ammecr1,Mus musculus (Mouse),344
Ammecr1l,Q8JZZ6,AMERL_MOUSE,reviewed,AMMECR1-like protein,Ammecr1l,Mus musculus (Mouse),310
Amot,Q8VHG2,AMOT_MOUSE,reviewed,Angiomotin,Amot Kiaa1071,Mus musculus (Mouse),1126
Amotl2,Q8K371,AMOL2_MOUSE,reviewed,Angiomotin-like protein 2,Amotl2,Mus musculus (Mouse),772
Ampd3,O08739,AMPD3_MOUSE,reviewed,AMP deaminase 3 (EC 3.5.4.6) (AMP deaminase H-type) (AMP deaminase isoform E) (Heart-type AMPD),Ampd3,Mus musculus (Mouse),766
Anapc7,Q9WVM3,APC7_MOUSE,reviewed,Anaphase-promoting complex subunit 7 (APC7) (Cyclosome subunit 7) (Prediabetic NOD sera-reactive autoantigen),Anapc7 Apc7,Mus musculus (Mouse),565
Ang4,Q3TMQ6,ANG4_MOUSE,reviewed,Angiogenin-4 (EC 3.1.27.-),Ang4,Mus musculus (Mouse),144
