gene_name,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
Tpp2,Q64514,TPP2_MOUSE,reviewed,Tripeptidyl-peptidase 2 (TPP-2) (EC 3.4.14.10) (Tripeptidyl aminopeptidase) (Tripeptidyl-peptidase II) (TPP-II),Tpp2,Mus musculus (Mouse),1262
Col3a1,P08121,CO3A1_MOUSE,reviewed,Collagen alpha-1(III) chain,Col3a1,Mus musculus (Mouse),1464
Spats2l,Q91WJ7,SPS2L_MOUSE,reviewed,SPATS2-like protein,Spats2l,Mus musculus (Mouse),558
Bzw1,Q9CQC6,BZW1_MOUSE,reviewed,Basic leucine zipper and W2 domain-containing protein 1,Bzw1,Mus musculus (Mouse),419
Nif3l1,Q9EQ80,NIF3L_MOUSE,reviewed,NIF3-like protein 1,Nif3l1,Mus musculus (Mouse),376
Cflar,O35732,CFLAR_MOUSE,reviewed,CASP8 and FADD-like apoptosis regulator (Caspase homolog) (CASH) (Caspase-eight-related protein) (Casper) (Caspase-like apoptosis regulatory protein) (CLARP) (Cellular FLICE-like inhibitory protein) (c-FLIP) (FADD-like antiapoptotic molecule 1) (FLAME-1) (Inhibitor of FLICE) (I-FLICE) (MACH-related inducer of toxicity) (MRIT) (Usurpin) [Cleaved into: CASP8 and FADD-like apoptosis regulator subunit p43; CASP8 and FADD-like apoptosis regulator subunit p12],Cflar Cash,Mus musculus (Mouse),481
Casp8,O89110,CASP8_MOUSE,reviewed,Caspase-8 (CASP-8) (EC 3.4.22.61) [Cleaved into: Caspase-8 subunit p18; Caspase-8 subunit p10],Casp8,Mus musculus (Mouse),480
Stradb,Q8K4T3,STRAB_MOUSE,reviewed,STE20-related kinase adapter protein beta (STRAD beta) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 2 protein homolog) (ILP-interacting protein homolog) (Polyploidy-associated protein kinase) (Pseudokinase ALS2CR2),Stradb Als2cr2 Papk Syradb,Mus musculus (Mouse),418
Nop58,Q6DFW4,NOP58_MOUSE,reviewed,Nucleolar protein 58 (MSSP) (Nucleolar protein 5) (SIK-similar protein),Nop58 Nol5,Mus musculus (Mouse),536
Fam117b,Q3U3E2,F117B_MOUSE,reviewed,Protein FAM117B (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 13 protein homolog),Fam117b Als2cr13,Mus musculus (Mouse),584
Pard3b,Q9CSB4,PAR3L_MOUSE,reviewed,Partitioning defective 3 homolog B (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 19 protein homolog) (PAR3-beta) (Partitioning defective 3-like protein) (PAR3-L protein),Pard3b Als2cr19 Par3l,Mus musculus (Mouse),1203
Eef1b2,O70251,EF1B_MOUSE,reviewed,Elongation factor 1-beta (EF-1-beta),Eef1b Eef1b2,Mus musculus (Mouse),225
Fastkd2,Q922E6,FAKD2_MOUSE,reviewed,"FAST kinase domain-containing protein 2, mitochondrial",Fastkd2,Mus musculus (Mouse),689
Pikfyve,Q9Z1T6,FYV1_MOUSE,reviewed,1-phosphatidylinositol 3-phosphate 5-kinase (Phosphatidylinositol 3-phosphate 5-kinase) (EC 2.7.1.150) (FYVE finger-containing phosphoinositide kinase) (PIKfyve) (Phosphatidylinositol 3-phosphate 5-kinase type III) (PIPkin-III) (Type III PIP kinase) (p235),Pikfyve Kiaa0981 Pip5k3,Mus musculus (Mouse),2097
Rpl37a,P61514,RL37A_MOUSE,reviewed,60S ribosomal protein L37a,Rpl37a,Mus musculus (Mouse),92
Arpc2,Q9CVB6,ARPC2_MOUSE,reviewed,Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC),Arpc2,Mus musculus (Mouse),300
Ctdsp1,P58466,CTDS1_MOUSE,reviewed,Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1 (EC 3.1.3.16) (Golli-interacting protein) (GIP) (Nuclear LIM interactor-interacting factor 3) (NLI-interacting factor 3) (Small C-terminal domain phosphatase 1) (SCP1) (Small CTD phosphatase 1),Ctdsp1 Nif3 Nliif,Mus musculus (Mouse),261
Vil1,Q62468,VILI_MOUSE,reviewed,Villin-1,Vil1 Vil,Mus musculus (Mouse),827
Ttll4,Q80UG8,TTLL4_MOUSE,reviewed,Tubulin polyglutamylase TTLL4 (EC 6.-.-.-) (Tubulin--tyrosine ligase-like protein 4),Ttll4 Kiaa0173,Mus musculus (Mouse),1193
Fam134a,Q6NS82,RETR2_MOUSE,reviewed,Reticulophagy regulator 2,Retreg2 Fam134a,Mus musculus (Mouse),541
Sgpp2,Q810K3,SGPP2_MOUSE,reviewed,Sphingosine-1-phosphate phosphatase 2 (SPPase2) (Spp2) (EC 3.1.3.-) (Sphingosine-1-phosphatase 2),Sgpp2,Mus musculus (Mouse),354
Utp14b,Q6EJB6,UT14B_MOUSE,reviewed,U3 small nucleolar RNA-associated protein 14 homolog B (Juvenile spermatogonial depletion protein),Utp14b Jsd,Mus musculus (Mouse),756
Acsl3,Q9CZW4,ACSL3_MOUSE,reviewed,Long-chain-fatty-acid--CoA ligase 3 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 3) (LACS 3),Acsl3 Acs3 Facl3,Mus musculus (Mouse),720
Mrpl44,Q9CY73,RM44_MOUSE,reviewed,"39S ribosomal protein L44, mitochondrial (L44mt) (MRP-L44) (EC 3.1.26.-)",Mrpl44,Mus musculus (Mouse),333
Agfg1,Q8K2K6,AGFG1_MOUSE,reviewed,Arf-GAP domain and FG repeat-containing protein 1 (HIV-1 Rev-binding protein homolog) (Nucleoporin-like protein RIP),Agfg1 Hrb Rip,Mus musculus (Mouse),561
Cab39,Q06138,CAB39_MOUSE,reviewed,Calcium-binding protein 39 (MO25alpha) (Protein Mo25),Cab39 Mo25,Mus musculus (Mouse),341
B3gnt7,Q8K0J2,B3GN7_MOUSE,reviewed,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7 (BGnT-7) (Beta-1,3-Gn-T7) (Beta-1,3-N-acetylglucosaminyltransferase 7) (Beta3Gn-T7) (EC 2.4.1.-)",B3gnt7,Mus musculus (Mouse),397
Ptma,P26350,PTMA_MOUSE,reviewed,"Prothymosin alpha [Cleaved into: Prothymosin alpha, N-terminally processed; Thymosin alpha]",Ptma,Mus musculus (Mouse),111
Eif4e2,Q8BMB3,IF4E2_MOUSE,reviewed,Eukaryotic translation initiation factor 4E type 2 (eIF-4E type 2) (eIF4E type 2) (eIF4E-2) (mRNA cap-binding protein type 2) (Eukaryotic translation initiation factor 4E-like 3) (eIF4E-like protein 4E-LP),Eif4e2 Eif4el3,Mus musculus (Mouse),245
Atg16l1,Q8C0J2,A16L1_MOUSE,reviewed,Autophagy-related protein 16-1 (APG16-like 1),Atg16l1 Apg16l,Mus musculus (Mouse),607
Sh3bp4,Q921I6,SH3B4_MOUSE,reviewed,SH3 domain-binding protein 4,Sh3bp4,Mus musculus (Mouse),962
Agap1,Q8BXK8,AGAP1_MOUSE,reviewed,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1 (AGAP-1) (Centaurin-gamma-2) (Cnt-g2)",Agap1 Centg2 Kiaa1099,Mus musculus (Mouse),857
Rnpepl1,G5E872,RNPL1_MOUSE,reviewed,Aminopeptidase RNPEPL1 (EC 3.4.11.-) (Methionyl aminopeptidase) (EC 3.4.11.18),Rnpepl1,Mus musculus (Mouse),720
Capn10,Q9ESK3,CAN10_MOUSE,reviewed,Calpain-10 (EC 3.4.22.-) (Calcium-activated neutral proteinase 10) (CANP 10),Capn10 Capn8,Mus musculus (Mouse),666
Ano7,Q14AT5,ANO7_MOUSE,reviewed,Anoctamin-7 (New gene expressed in prostate homolog) (Transmembrane protein 16G),Ano7 Ngep Tmem16g,Mus musculus (Mouse),859
2-Sep,P42208,SEPT2_MOUSE,reviewed,Septin-2 (Neural precursor cell expressed developmentally down-regulated protein 5) (NEDD-5),Septin2 Nedd-5 Nedd5 Sept2,Mus musculus (Mouse),361
Bok,O35425,BOK_MOUSE,reviewed,Bcl-2-related ovarian killer protein (Apoptosis activator Mtd) (Protein matador),Bok Mtd,Mus musculus (Mouse),213
Atg4b,Q8BGE6,ATG4B_MOUSE,reviewed,Cysteine protease ATG4B (EC 3.4.22.-) (AUT-like 1 cysteine endopeptidase) (Autophagin-1) (Autophagy-related cysteine endopeptidase 1) (Autophagy-related protein 4 homolog B),Atg4b Apg4b Autl1 Kiaa0943,Mus musculus (Mouse),393
Gin1,Q8K259,GIN1_MOUSE,reviewed,Gypsy retrotransposon integrase-like protein 1 (GIN-1) (Zinc finger H2C2 domain-containing protein),Gin1 Zh2c2,Mus musculus (Mouse),518
Tnfrsf11a,O35305,TNR11_MOUSE,reviewed,Tumor necrosis factor receptor superfamily member 11A (Osteoclast differentiation factor receptor) (ODFR) (Receptor activator of NF-KB) (CD antigen CD265),Tnfrsf11a Rank,Mus musculus (Mouse),625
Zcchc2,Q69ZB8,ZCHC2_MOUSE,reviewed,Zinc finger CCHC domain-containing protein 2,Zcchc2 Kiaa1744,Mus musculus (Mouse),1166
Clasp1,Q80TV8,CLAP1_MOUSE,reviewed,CLIP-associating protein 1 (Cytoplasmic linker-associated protein 1),Clasp1 Kiaa0622,Mus musculus (Mouse),1535
Tfcp2l1,Q3UNW5,TF2L1_MOUSE,reviewed,Transcription factor CP2-like protein 1 (CP2-related transcriptional repressor 1) (CRTR-1),Tfcp2l1 Crtr1 Tcfcp2l1,Mus musculus (Mouse),479
Tmem185b,Q8R3R5,T185B_MOUSE,reviewed,Transmembrane protein 185B (Erythropoietin-induced EST 3-2) (Protein FAM11B),Tmem185b Ee3-2 Fam11b,Mus musculus (Mouse),350
Mgat5,Q8R4G6,MGT5A_MOUSE,reviewed,"Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A (EC 2.4.1.155) (Alpha-mannoside beta-1,6-N-acetylglucosaminyltransferase) (GlcNAc-T V) (GNT-V) (Mannoside acetylglucosaminyltransferase 5) (N-acetylglucosaminyl-transferase V) [Cleaved into: Secreted alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A (Secreted beta-1,6-N-acetylglucosaminyltransferase V) (Secreted GNT-V)]",Mgat5,Mus musculus (Mouse),740
Ccnt2,Q7TQK0,CCNT2_MOUSE,reviewed,Cyclin-T2 (CycT2),Ccnt2,Mus musculus (Mouse),723
Rab3gap1,Q80UJ7,RB3GP_MOUSE,reviewed,Rab3 GTPase-activating protein catalytic subunit (RAB3 GTPase-activating protein 130 kDa subunit) (Rab3-GAP p130) (Rab3-GAP),Rab3gap1 Kiaa0066 Rab3gap,Mus musculus (Mouse),981
Ubxn4,Q8VCH8,UBXN4_MOUSE,reviewed,UBX domain-containing protein 4 (Erasin) (UBX domain-containing protein 2),Ubxn4 Ubxd2 Ubxdc1,Mus musculus (Mouse),506
Pigr,O70570,PIGR_MOUSE,reviewed,Polymeric immunoglobulin receptor (PIgR) (Poly-Ig receptor) [Cleaved into: Secretory component],Pigr,Mus musculus (Mouse),771
Eif2d,Q61211,EIF2D_MOUSE,reviewed,Eukaryotic translation initiation factor 2D (eIF2D) (Ligatin),Eif2d Lgtn,Mus musculus (Mouse),570
Nucks1,Q80XU3,NUCKS_MOUSE,reviewed,Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1 (JC7),Nucks1 Nucks,Mus musculus (Mouse),234
Elk4,P41158,ELK4_MOUSE,reviewed,ETS domain-containing protein Elk-4 (Serum response factor accessory protein 1) (SAP-1) (SRF accessory protein 1),Elk4 Sap1,Mus musculus (Mouse),430
Nuak2,Q8BZN4,NUAK2_MOUSE,reviewed,NUAK family SNF1-like kinase 2 (EC 2.7.11.1) (Omphalocele kinase 2),Nuak2 Omphk2,Mus musculus (Mouse),639
Ppp1r15b,Q8BFW3,PR15B_MOUSE,reviewed,Protein phosphatase 1 regulatory subunit 15B (Constitutive repressor of eIF2alpha phosphorylation) (CReP),Ppp1r15b,Mus musculus (Mouse),697
Plekha6,Q7TQG1,PKHA6_MOUSE,reviewed,Pleckstrin homology domain-containing family A member 6 (PH domain-containing family A member 6) (Phosphoinositol 3-phosphate-binding protein 3) (PEPP-3),Plekha6 Pepp3,Mus musculus (Mouse),1173
Adipor1,Q91VH1,PAQR1_MOUSE,reviewed,Adiponectin receptor protein 1 (Progestin and adipoQ receptor family member 1) (Progestin and adipoQ receptor family member I),Adipor1 Parq1,Mus musculus (Mouse),375
Rabif,Q91X96,MSS4_MOUSE,reviewed,Guanine nucleotide exchange factor MSS4 (Rab-interacting factor),Rabif,Mus musculus (Mouse),123
Lad1,P57016,LAD1_MOUSE,reviewed,Ladinin-1 (Lad-1) (Linear IgA disease antigen homolog) (LADA),Lad1,Mus musculus (Mouse),528
Kif21b,Q9QXL1,KI21B_MOUSE,reviewed,Kinesin-like protein KIF21B (Kinesin-like protein KIF6),Kif21b Kif6,Mus musculus (Mouse),1668
Dennd1b,Q3U1T9,DEN1B_MOUSE,reviewed,DENN domain-containing protein 1B (Connecdenn 2),Dennd1b,Mus musculus (Mouse),766
Zbtb41,Q811F1,ZBT41_MOUSE,reviewed,Zinc finger and BTB domain-containing protein 41,Zbtb41,Mus musculus (Mouse),908
Tpr,F6ZDS4,TPR_MOUSE,reviewed,Nucleoprotein TPR (NPC-associated intranuclear protein) (Translocated promoter region and nuclear basket protein),Tpr,Mus musculus (Mouse),2431
Ivns1abp,Q920Q8,NS1BP_MOUSE,reviewed,Influenza virus NS1A-binding protein homolog (NS1-BP) (NS1-binding protein homolog) (Kelch family protein Nd1-L) (ND1-L2) (Nd1-S),Ivns1abp Kiaa0850 Nd1 Nd1L Nd1S Ns1 Ns1bp,Mus musculus (Mouse),642
Rgs16,P97428,RGS16_MOUSE,reviewed,Regulator of G-protein signaling 16 (RGS16) (A28-RGS14P) (Retinal-specific RGS) (RGS-r) (Retinally abundant regulator of G-protein signaling),Rgs16 Rgsr,Mus musculus (Mouse),201
Rnasel,Q05921,RN5A_MOUSE,reviewed,2-5A-dependent ribonuclease (2-5A-dependent RNase) (EC 3.1.26.-) (Ribonuclease 4) (Ribonuclease L) (RNase L),Rnasel Rns4,Mus musculus (Mouse),735
Glul,P15105,GLNA_MOUSE,reviewed,Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Palmitoyltransferase GLUL) (EC 2.3.1.225),Glul Glns,Mus musculus (Mouse),373
Tor1aip2,Q8BYU6,TOIP2_MOUSE,reviewed,Torsin-1A-interacting protein 2,Tor1aip2 Ifrg15 Lull1,Mus musculus (Mouse),502
Tor1aip2,Q9ER81,IFG15_MOUSE,reviewed,"Torsin-1A-interacting protein 2, isoform IFRG15 (15 kDa interferon-responsive protein) (IFRG15)",Tor1aip2 Ifrg15,Mus musculus (Mouse),131
Abl2,Q4JIM5,ABL2_MOUSE,reviewed,Tyrosine-protein kinase ABL2 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 2) (Abelson tyrosine-protein kinase 2) (Abelson-related gene protein) (Tyrosine-protein kinase ARG),Abl2 Arg,Mus musculus (Mouse),1182
Slc19a2,Q9EQN9,S19A2_MOUSE,reviewed,Thiamine transporter 1 (ThTr-1) (Solute carrier family 19 member 2),Slc19a2,Mus musculus (Mouse),498
Gpa33,Q9JKA5,GPA33_MOUSE,reviewed,Cell surface A33 antigen (Glycoprotein A33) (mA33),Gpa33,Mus musculus (Mouse),319
Dedd,Q9Z1L3,DEDD_MOUSE,reviewed,Death effector domain-containing protein (DEDPro1),Dedd,Mus musculus (Mouse),318
Pvrl4,Q8R007,NECT4_MOUSE,reviewed,Nectin-4 (Ig superfamily receptor LNIR) (Nectin cell adhesion molecule 4) (Poliovirus receptor-related protein 4),Nectin4 Lnir Prr4 Pvrl4,Mus musculus (Mouse),508
F11r,O88792,JAM1_MOUSE,reviewed,Junctional adhesion molecule A (JAM-A) (Junctional adhesion molecule 1) (JAM-1) (CD antigen CD321),F11r Jam1 Jcam Jcam1,Mus musculus (Mouse),300
Copa,Q8CIE6,COPA_MOUSE,reviewed,Coatomer subunit alpha (Alpha-coat protein) (Alpha-COP) [Cleaved into: Xenin (Xenopsin-related peptide); Proxenin],Copa,Mus musculus (Mouse),1224
Dcaf8,Q8N7N5,DCAF8_MOUSE,reviewed,DDB1- and CUL4-associated factor 8 (WD repeat-containing protein 42A),Dcaf8 D1Ucla4 H326 Wdr42a,Mus musculus (Mouse),591
Igsf8,Q8R366,IGSF8_MOUSE,reviewed,Immunoglobulin superfamily member 8 (IgSF8) (CD81 partner 3) (Glu-Trp-Ile EWI motif-containing protein 2) (EWI-2) (Keratinocyte-associated transmembrane protein 4) (KCT-4) (Prostaglandin regulatory-like protein) (PGRL) (CD antigen CD316),Igsf8 Ewi2 Kct4 Pgrl,Mus musculus (Mouse),611
Pigm,Q8C2R7,PIGM_MOUSE,reviewed,GPI mannosyltransferase 1 (EC 2.4.1.-) (GPI mannosyltransferase I) (GPI-MT-I) (Phosphatidylinositol-glycan biosynthesis class M protein) (PIG-M),Pigm,Mus musculus (Mouse),423
Igsf9,Q05BQ1,TUTLA_MOUSE,reviewed,Protein turtle homolog A (Dendrite arborization and synapse maturation protein 1) (Immunoglobulin superfamily member 9A) (IgSF9A),Igsf9 Dasm1 Igsf9a Nrt1,Mus musculus (Mouse),1179
Zbtb18,Q9WUK6,ZBT18_MOUSE,reviewed,Zinc finger and BTB domain-containing protein 18 (58 kDa repressor protein) (Transcriptional repressor RP58) (Zinc finger protein 238) (Zfp-238),Zbtb18 Rp58 Zfp238 Znf238,Mus musculus (Mouse),522
Desi2,Q9D291,DESI2_MOUSE,reviewed,Deubiquitinase DESI2 (EC 3.4.19.12) (Desumoylating isopeptidase 2) (DeSI-2) (PPPDE peptidase domain-containing protein 1) (Protein FAM152A),Desi2 Fam152a Pppde1,Mus musculus (Mouse),194
Parp1,P11103,PARP1_MOUSE,reviewed,Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 1) (ARTD1) (DNA ADP-ribosyltransferase PARP1) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 1) (ADPRT 1) (Poly[ADP-ribose] synthase 1) (msPARP) (Protein poly-ADP-ribosyltransferase PARP1) (EC 2.4.2.-),Parp1 Adprp Adprt Adprt1,Mus musculus (Mouse),1013
Eprs,Q8CGC7,SYEP_MOUSE,reviewed,Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) [Includes: Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS); Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)],Eprs Qprs,Mus musculus (Mouse),1512
Esrrg,P62509,ERR3_MOUSE,reviewed,Estrogen-related receptor gamma (Estrogen receptor-related protein 3) (Nuclear receptor subfamily 3 group B member 3),Esrrg Err3 Kiaa0832 Nr3b3,Mus musculus (Mouse),458
Tmem206,Q9D771,PACC1_MOUSE,reviewed,Proton-activated chloride channel (PAC) (Transmembrane protein 206),Pacc1 Tmem206,Mus musculus (Mouse),350
Nek2,O35942,NEK2_MOUSE,reviewed,Serine/threonine-protein kinase Nek2 (EC 2.7.11.1) (Never in mitosis A-related kinase 2) (NimA-related protein kinase 2),Nek2,Mus musculus (Mouse),443
Lamb3,Q61087,LAMB3_MOUSE,reviewed,Laminin subunit beta-3 (Epiligrin subunit bata) (Kalinin B1 chain) (Kalinin subunit beta) (Laminin-5 subunit beta) (Nicein subunit beta),Lamb3,Mus musculus (Mouse),1168
Xkr4,Q5GH67,XKR4_MOUSE,reviewed,XK-related protein 4,Xkr4 Xrg4,Mus musculus (Mouse),647
Mrpl15,Q9CPR5,RM15_MOUSE,reviewed,"39S ribosomal protein L15, mitochondrial (L15mt) (MRP-L15)",Mrpl15,Mus musculus (Mouse),295
Vcpip1,Q8CDG3,VCIP1_MOUSE,reviewed,Deubiquitinating protein VCIP135 (EC 3.4.19.12) (Valosin-containing protein p97/p47 complex-interacting protein 1) (Valosin-containing protein p97/p47 complex-interacting protein p135),Vcpip1 Vcip135,Mus musculus (Mouse),1220
Arfgef1,G3X9K3,BIG1_MOUSE,reviewed,Brefeldin A-inhibited guanine nucleotide-exchange protein 1 (BIG1) (Brefeldin A-inhibited GEP 1) (ADP-ribosylation factor guanine nucleotide-exchange factor 1),Arfgef1,Mus musculus (Mouse),1846
Ncoa2,Q61026,NCOA2_MOUSE,reviewed,Nuclear receptor coactivator 2 (NCoA-2) (Glucocorticoid receptor-interacting protein 1) (GRIP-1) (Steroid receptor coactivator 2) (SRC-2) (Transcriptional intermediary factor 2),Ncoa2 Grip1 Src2 Tif2,Mus musculus (Mouse),1462
Ube2w,Q8VDW4,UBE2W_MOUSE,reviewed,Ubiquitin-conjugating enzyme E2 W (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme W) (N-terminal E2 ubiquitin-conjugating enzyme) (EC 2.3.2.25) (N-terminus-conjugating E2) (Ubiquitin carrier protein W) (Ubiquitin-protein ligase W),Ube2w,Mus musculus (Mouse),151
Tram2,Q924Z5,TRAM2_MOUSE,reviewed,Translocating chain-associated membrane protein 2,Tram2,Mus musculus (Mouse),370
Smap1,Q91VZ6,SMAP1_MOUSE,reviewed,Stromal membrane-associated protein 1,Smap1,Mus musculus (Mouse),440
Smap1,Q99KD5,UN45A_MOUSE,reviewed,Protein unc-45 homolog A (Unc-45A) (Stromal membrane-associated protein 1) (SMAP-1),Unc45a Smap1,Mus musculus (Mouse),944
Ptp4a1,Q63739,TP4A1_MOUSE,reviewed,Protein tyrosine phosphatase type IVA 1 (EC 3.1.3.48) (Protein-tyrosine phosphatase 4a1) (Protein-tyrosine phosphatase of regenerating liver 1) (PRL-1),Ptp4a1 Prl1,Mus musculus (Mouse),173
Fam168b,Q80XQ8,F168B_MOUSE,reviewed,Myelin-associated neurite-outgrowth inhibitor (Mani),Fam168b Kiaa4042,Mus musculus (Mouse),194
Uggt1,Q6P5E4,UGGG1_MOUSE,reviewed,UDP-glucose:glycoprotein glucosyltransferase 1 (UGT1) (EC 2.4.1.-) (UDP--Glc:glycoprotein glucosyltransferase) (UDP-glucose ceramide glucosyltransferase-like 1),Uggt1 Gt Ugcgl1 Uggt Ugt1 Ugtr,Mus musculus (Mouse),1551
Lman2l,P59481,LMA2L_MOUSE,reviewed,VIP36-like protein (Lectin mannose-binding 2-like) (LMAN2-like protein),Lman2l Vipl,Mus musculus (Mouse),347
Sema4c,Q64151,SEM4C_MOUSE,reviewed,Semaphorin-4C (M-Sema F) (Semaphorin-C-like 1) (Sema I) (Semaphorin I),Sema4c S4c Semacl1 Semai,Mus musculus (Mouse),834
Tmem131,O70472,TM131_MOUSE,reviewed,Transmembrane protein 131 (Protein RW1),Tmem131 D1Bwg0491e Kiaa0257 Rw1,Mus musculus (Mouse),1877
Mgat4a,Q812G0,MGT4A_MOUSE,reviewed,"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A (EC 2.4.1.145) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase IVa) (GlcNAc-T IVa) (GnT-IVa) (N-acetylglucosaminyltransferase IVa) (UDP-N-acetylglucosamine: alpha-1,3-D-mannoside beta-1,4-N-acetylglucosaminyltransferase IVa) [Cleaved into: Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A soluble form]",Mgat4a,Mus musculus (Mouse),535
Fhl2,O70433,FHL2_MOUSE,reviewed,Four and a half LIM domains protein 2 (FHL-2) (Skeletal muscle LIM-protein 3) (SLIM-3),Fhl2,Mus musculus (Mouse),279
Uxs1,Q91XL3,UXS1_MOUSE,reviewed,UDP-glucuronic acid decarboxylase 1 (EC 4.1.1.35) (UDP-glucuronate decarboxylase 1) (UGD) (UXS-1),Uxs1,Mus musculus (Mouse),420
Col5a2,Q3U962,CO5A2_MOUSE,reviewed,Collagen alpha-2(V) chain,Col5a2,Mus musculus (Mouse),1497
Slc40a1,Q9JHI9,S40A1_MOUSE,reviewed,Solute carrier family 40 member 1 (Ferroportin-1) (Iron-regulated transporter 1) (Metal transporter protein 1) (MTP1),Slc40a1 Fpn1 Ireg1 Slc11a3 Slc39a1,Mus musculus (Mouse),570
Nabp1,Q8BGW5,SOSB2_MOUSE,reviewed,SOSS complex subunit B2 (Nucleic acid-binding protein 1) (Oligonucleotide/oligosaccharide-binding fold-containing protein 2A) (Sensor of single-strand DNA complex subunit B2) (Sensor of ssDNA subunit B2) (SOSS-B2) (Single-stranded DNA-binding protein 2),Nabp1 Obfc2a Ssb2,Mus musculus (Mouse),198
