"","X","Protein.Id","Description","p_values","q_values","foldChange","LFC"
"1388",1388,"P80315","TCPD_MOUSE T-complex protein 1 subunit delta",0.0277561210010155,0.0944203533542501,1.06402227108899,0.089528348257688
"931",931,"Q91YJ5","IF2M_MOUSE Translation initiation factor IF-2, mitochondrial",0.0177067676993231,0.0703543172907569,1.07221918359905,0.100599852408345
"3751",3751,"Q99P72","RTN4_MOUSE Reticulon-4",0.00185730205813236,0.0184637564663411,1.46668377270946,0.552557849387323
"6756",6756,"Q8K4D3","S36A1_MOUSE Proton-coupled amino acid transporter 1",0.0269772533558484,0.092815812827919,-1.31962450618137,-0.400127474935801
"1541",1541,"P97855","G3BP1_MOUSE Ras GTPase-activating protein-binding protein 1",0.0110326817020405,0.0527159951729141,1.1630128882691,0.217867084548782
"3043",3043,"Q99LH9","3BP5L_MOUSE SH3 domain-binding protein 5-like",0.00476982241077404,0.0314086857861509,1.1310007904235,0.177599937585611
"3171",3171,"P97434","MPRIP_MOUSE Myosin phosphatase Rho-interacting protein",0.00110113009451999,0.0141936403211019,1.22920488389478,0.297725404191882
"112",112,"O09110","MP2K3_MOUSE Dual specificity mitogen-activated protein kinase kinase 3",0.00017082995401477,0.00744085076194881,1.10278088670344,0.141146168020118
"5014",5014,"Q5SXY1","CYTSB_MOUSE Cytospin-B",0.000490677823340324,0.0100690785482996,1.35515856855939,0.438461672752337
"4316",4316,"Q60692","PSB6_MOUSE Proteasome subunit beta type-6",0.000259256858449044,0.00800761277888839,1.18494031809659,0.244814396714742
"2324",2324,"Q9JM52","MINK1_MOUSE Misshapen-like kinase 1",2.49553935705304e-05,0.00340433160624653,1.33709314643924,0.419099971957149
"800",800,"P53810","PIPNA_MOUSE Phosphatidylinositol transfer protein alpha isoform",0.00306266955454486,0.0247462490660905,1.08370588910009,0.115973271535511
"2681",2681,"Q9WTI7","MYO1C_MOUSE Unconventional myosin-Ic",0.0207549025296194,0.0779976479361501,1.12456447541942,0.169366378502362
"2315",2315,"Q64010","CRK_MOUSE Adapter molecule crk",0.000104379152466156,0.00671654424110189,1.135275822227,0.183042851715042
"3675",3675,"Q5SW75","SSH2_MOUSE Protein phosphatase Slingshot homolog 2",0.0265765445590122,0.0919395677157712,-1.173537719059,-0.230864212738661
"1713",1713,"Q6P539","F222B_MOUSE Protein FAM222B",0.0134710833090038,0.059697247906982,1.17605989265252,0.233961533501261
"2710",2710,"Q9DCT5","SDF2_MOUSE Stromal cell-derived factor 2",0.0207503058689904,0.0779976479361501,1.12635835433113,0.171665898258063
"4098",4098,"Q8CBA2","SLFN5_MOUSE Schlafen family member 5",0.0202850863626644,0.0769742382375557,-1.40939847057217,-0.495079553624699
"6274",6274,"Q8CCN5","BCAS3_MOUSE Breast carcinoma-amplified sequence 3 homolog",0.00317223893384292,0.0251248015218361,1.08205673173236,0.113776140979248
"1610",1610,"Q8VCA8","SCRN2_MOUSE Secernin-2",0.0180312203258723,0.0710912997915534,-1.10704999177142,-0.146720372302159
"5911",5911,"Q61792","LASP1_MOUSE LIM and SH3 domain protein 1",0.00174141777593891,0.0177282394229602,1.18526701295482,0.245212101209764
"708",708,"P70424","ERBB2_MOUSE Receptor tyrosine-protein kinase erbB-2",0.000306794271712201,0.0085696489478225,1.32634044240009,0.40745113104827
"987",987,"Q61576","FKB10_MOUSE Peptidyl-prolyl cis-trans isomerase FKBP10",0.00165101814980074,0.0174211732814309,1.43625724445671,0.522314169818588
"2811",2811,"Q9Z1G4","VPP1_MOUSE V-type proton ATPase 116 kDa subunit a isoform 1",0.0116148145007288,0.0544504453916533,1.09348992586693,0.128939929147991
"3507",3507,"P28798","GRN_MOUSE Granulins",0.0177345318110153,0.0703962865534242,1.40898791890034,0.494659241585597
"4887",4887,"P61963","DCAF7_MOUSE DDB1- and CUL4-associated factor 7",0.0134279232074725,0.0596134672581062,-1.17803209255766,-0.236378842345892
"2961",2961,"Q3UHC0","TNR6C_MOUSE Trinucleotide repeat-containing gene 6C protein",0.0101323247449603,0.0497733780446605,1.07197348726294,0.100269224576209
"3401",3401,"Q99KF0","CAR14_MOUSE Caspase recruitment domain-containing protein 14",0.00146482683664627,0.0165602315717537,1.32384918268236,0.404738774871957
"5097",5097,"Q9QZD8","DIC_MOUSE Mitochondrial dicarboxylate carrier",0.00184090352332085,0.0183977965059599,1.09352539637455,0.128986726374265
"72",72,"O35295","PURB_MOUSE Transcriptional activator protein Pur-beta",0.0091794214364091,0.0467830413804536,1.09441748897897,0.130163190034572
"1805",1805,"Q5SSZ5","TENS3_MOUSE Tensin-3",0.00320595936485521,0.0252072789638232,-1.24580019627546,-0.317072704833171
"3900",3900,"P61161","ARP2_MOUSE Actin-related protein 2",0.00158824268657166,0.0171727429188759,1.10200997998636,0.140137289255376
"1456",1456,"Q8VED9","LEGL_MOUSE Galectin-related protein",0.00105370105331895,0.0139591411013566,-1.24533268523168,-0.316531203512755
"3837",3837,"Q91ZJ5","UGPA_MOUSE UTP--glucose-1-phosphate uridylyltransferase",0.0262665571263715,0.0912528735481115,-1.23236517998781,-0.301429825262882
"4729",4729,"P14152","MDHC_MOUSE Malate dehydrogenase, cytoplasmic",0.000470423293029291,0.00987285808575576,-1.29711433476708,-0.375305652242997
"3611",3611,"Q99LB6","MAT2B_MOUSE Methionine adenosyltransferase 2 subunit beta",0.00835547441111806,0.0443224614744014,-1.11180147711842,-0.152899203937593
"4331",4331,"P07214","SPRC_MOUSE SPARC",0.00434207314524013,0.0299914503745067,1.43375705807493,0.519800588333264
"2708",2708,"O88543","CSN3_MOUSE COP9 signalosome complex subunit 3",0.0231370984122214,0.0839523026645951,1.11648451407247,0.158963240747677
"884",884,"Q9JJ28","FLII_MOUSE Protein flightless-1 homolog",1.64509324722496e-05,0.00299224182856362,1.15553205043807,0.20855727570066
"4757",4757,"P47809","MP2K4_MOUSE Dual specificity mitogen-activated protein kinase kinase 4",0.000664606007229184,0.0113093558610621,1.1305415112505,0.177013965973329
"6707",6707,"Q9R0Q9","MPU1_MOUSE Mannose-P-dolichol utilization defect 1 protein",0.0178812344506392,0.070806920163755,1.14114665130362,0.19048420750129
"1930",1930,"P63005","LIS1_MOUSE Platelet-activating factor acetylhydrolase IB subunit alpha",0.0121905252053693,0.0561763804738852,1.07983625864186,0.110812565393559
"2028",2028,"O89001","CBPD_MOUSE Carboxypeptidase D",0.022027957751383,0.0812016075304342,1.05579677920198,0.0783321700637622
"4501",4501,"O70479","BACD2_MOUSE BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 2",2.78353319838532e-05,0.00363348834719916,1.25455668684281,0.327177660049068
"826",826,"Q5SYD0","MYO1D_MOUSE Unconventional myosin-Id",0.0131728281649377,0.0589822749070103,1.11184644022547,0.152957547752794
"3893",3893,"Q8BSK8","KS6B1_MOUSE Ribosomal protein S6 kinase beta-1",0.00145128197855346,0.0164589440533518,1.14526061273213,0.195675931871484
"6624",6624,"Q920Q6","MSI2H_MOUSE RNA-binding protein Musashi homolog 2",0.0155539706563053,0.0650200458742894,1.30207595321326,0.380813606820062
"6143",6143,"Q923U0","TM1L1_MOUSE TOM1-like protein 1",0.000243911138997416,0.00800761277888839,1.29542396534001,0.373424339295619
"197",197,"Q62470","ITA3_MOUSE Integrin alpha-3",0.000415411702073875,0.00947687188286485,1.21092977861237,0.276115206085054
"2830",2830,"Q09199","B4GN2_MOUSE Beta-1,4 N-acetylgalactosaminyltransferase 2",0.0050842008691719,0.032409800711972,-1.48998295447326,-0.575295826232694
"1450",1450,"Q11011","PSA_MOUSE Puromycin-sensitive aminopeptidase",0.00459821177448824,0.0309764307606471,1.07087518416625,0.0987903365979077
"6781",6781,"Q8BZ33","TENS4_MOUSE Tensin-4",0.000417693527524978,0.00947687188286485,1.84647134111381,0.884770870800314
"321",321,"P19001","K1C19_MOUSE Keratin, type I cytoskeletal 19",0.013856529439034,0.0607150393246754,1.15313565952885,0.205562247436081
"394",394,"Q02257","PLAK_MOUSE Junction plakoglobin",0.000185938911440055,0.00745799614576576,1.25736933133996,0.330408479694456
"5258",5258,"Q8CE33","KLH11_MOUSE Kelch-like protein 11",0.00776359064934999,0.0422500588616471,1.19524981168697,0.257312178387302
"7508",7508,"Q9D0R8","LSM12_MOUSE Protein LSM12 homolog",0.003506829435047,0.026523588320885,-1.11794991152708,-0.160855551320387
"7603",7603,"A2AWT3","AT7L3_MOUSE Ataxin-7-like protein 3",0.000967724098662837,0.0134998209131246,1.22497422638385,0.292751395056926
"4648",4648,"Q7TSI1","PKHM1_MOUSE Pleckstrin homology domain-containing family M member 1",0.00131573142838283,0.0157907063655623,1.23163148027928,0.300570647992594
"6600",6600,"P97825","HN1_MOUSE Hematological and neurological expressed 1 protein",0.0221147068666737,0.0813523036870672,1.08261975125573,0.114526613854977
"3342",3342,"Q9D952","EVPL_MOUSE Envoplakin",9.79696947422579e-06,0.00235847632783936,1.44284320470493,0.528914529153224
"3598",3598,"Q91X52","DCXR_MOUSE L-xylulose reductase",0.00382582665999547,0.0278102941492566,-1.32811183960628,-0.409376640398353
"399",399,"P19096","FAS_MOUSE Fatty acid synthase",0.014657408074542,0.0626497505922577,-1.089033162529,-0.123047886734049
"2161",2161,"O88508","DNM3A_MOUSE DNA (cytosine-5)-methyltransferase 3A",0.00306187156054196,0.0247462490660905,1.18387742658668,0.243519718458729
"1109",1109,"Q9Z0R6","ITSN2_MOUSE Intersectin-2",7.79875935454484e-05,0.00584862790638637,1.22737717758724,0.295578662705849
"7723",7723,"P18828","SDC1_MOUSE Syndecan-1",0.0215495984206085,0.0801378750898141,1.51325215076375,0.597652401531498
"3829",3829,"P70336","ROCK2_MOUSE Rho-associated protein kinase 2",1.08495680383068e-05,0.00246676984426503,1.20225919718102,0.265747962750694
"2246",2246,"Q922R8","PDIA6_MOUSE Protein disulfide-isomerase A6",0.000800370678609911,0.0124269520829011,-1.1451314723444,-0.195513243396993
"3228",3228,"Q7SIG6","ASAP2_MOUSE Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2",0.000161426589299319,0.00742290243491532,1.29072682954572,0.368183699823441
"6577",6577,"Q99JT9","MTND_MOUSE 1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase",5.46725466919463e-05,0.00508516812129069,-1.34469571987321,-0.427279754125252
"1230",1230,"P02469","LAMB1_MOUSE Laminin subunit beta-1",0.0176108330637304,0.070075191359569,1.10699277724287,0.146645809048208
"138",138,"Q6PHS6","SNX13_MOUSE Sorting nexin-13",0.0261141451874896,0.090839047326648,1.14640885742898,0.197121661362638
"6156",6156,"P59764","DOCK4_MOUSE Dedicator of cytokinesis protein 4",0.00666112642708331,0.0384223536333171,1.13941732711665,0.188296250548164
"2076",2076,"Q9QUM9","PSA6_MOUSE Proteasome subunit alpha type-6",0.00764706410835476,0.0417553166957196,-1.10970560878783,-0.150176998131276
"3696",3696,"Q91ZV0","MIA2_MOUSE Melanoma inhibitory activity protein 2",0.000113457540552167,0.00676275976048776,1.25209297380399,0.324341693153781
"6834",6834,"Q8K2Z2","PRP39_MOUSE Pre-mRNA-processing factor 39",0.00509525011658013,0.0324549589137808,-1.11440432380918,-0.156272760616375
"4169",4169,"P62331","ARF6_MOUSE ADP-ribosylation factor 6",0.00264607432114747,0.0225637487666224,1.10878866801318,0.14898441810298
"2057",2057,"Q8BPM0","DAAM1_MOUSE Disheveled-associated activator of morphogenesis 1",0.0188986603358831,0.07345049346088,1.03356211476683,0.0476250941075804
"3271",3271,"Q922D8","C1TC_MOUSE C-1-tetrahydrofolate synthase, cytoplasmic",0.000134893219753013,0.00707757053640007,-1.14121998290136,-0.190576914019908
"4727",4727,"Q4VAC9","PKHG3_MOUSE Pleckstrin homology domain-containing family G member 3",0.00103032526511949,0.013898555471951,1.54633701720406,0.628854782432981
"999",999,"Q8BUV3","GEPH_MOUSE Gephyrin",0.00110160779880156,0.0141936403211019,-1.0984901284617,-0.135521905097245
"5221",5221,"Q8C0T5","SI1L1_MOUSE Signal-induced proliferation-associated 1-like protein 1",0.00412344642710349,0.0290451024146661,1.15105997583671,0.202963006874076
"2901",2901,"P01101","FOS_MOUSE Proto-oncogene c-Fos",0.000363977962600564,0.00913875320450721,1.81001894479939,0.856004797543343
"585",585,"Q9JHU4","DYHC1_MOUSE Cytoplasmic dynein 1 heavy chain 1",0.0139149289224466,0.0609057183049335,1.03106044666953,0.0441289142327472
"1269",1269,"Q03141","MARK3_MOUSE MAP/microtubule affinity-regulating kinase 3",0.000565000569081471,0.0104926670418037,1.08113790999202,0.112550565044106
"2777",2777,"Q80U49","C170B_MOUSE Centrosomal protein of 170 kDa protein B",0.000807501955392283,0.012470572650728,1.18181265075798,0.241001347490734
"2208",2208,"Q3TZZ7","ESYT2_MOUSE Extended synaptotagmin-2",0.00200099809367025,0.0193873767003223,1.18804850473512,0.248593738590114
"5003",5003,"P62746","RHOB_MOUSE Rho-related GTP-binding protein RhoB",0.000319344060959291,0.00865506999652912,1.26066691000194,0.334187141037078
"180",180,"P68254","1433T_MOUSE 14-3-3 protein theta",0.00471141016297695,0.0313309368508075,1.07769825044522,0.107953287992145
"6353",6353,"Q8CBB9","RSAD2_MOUSE Radical S-adenosyl methionine domain-containing protein 2",0.0206669459484234,0.0778816540459695,-1.81224195587733,-0.85777558520804
"3693",3693,"Q69ZR2","HECD1_MOUSE E3 ubiquitin-protein ligase HECTD1",0.0204909747922549,0.0775039873727387,1.07602514712887,0.105711794636342
"1860",1860,"Q5PRF0","HTR5A_MOUSE HEAT repeat-containing protein 5A",0.000164270012369923,0.00742845332181117,1.17199571002564,0.228967288927337
"5146",5146,"Q8K386","RAB15_MOUSE Ras-related protein Rab-15",0.00136224879518821,0.0159742211871282,-1.21590784612609,-0.282033890808715
"374",374,"Q7TPR4","ACTN1_MOUSE Alpha-actinin-1",0.000967219702434071,0.0134998209131246,1.24979238821151,0.321688458588139
"2316",2316,"Q8CHG5","AREL1_MOUSE Apoptosis-resistant E3 ubiquitin protein ligase 1",0.000216044500939952,0.00789430464372102,1.49548284406414,0.580611360189427
"3756",3756,"P97363","SPTC2_MOUSE Serine palmitoyltransferase 2",0.00255424239254542,0.0221516703982596,1.05750380616653,0.0806628559009694
"7908",7908,"Q8BZ60","STON2_MOUSE Stonin-2",0.0124846807189693,0.0571134773232342,1.51214111455846,0.596592779621154
"1217",1217,"Q6VGS5","DAPLE_MOUSE Protein Daple",0.000929038685665734,0.0133406695476737,1.10901262599682,0.149275790530561
"6423",6423,"Q8BYN3","ITPK1_MOUSE Inositol-tetrakisphosphate 1-kinase",0.00245672652963012,0.0217152339579077,-1.11706471004199,-0.159712761606904
