gene_name,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
Ano7,Q14AT5,ANO7_MOUSE,reviewed,Anoctamin-7 (New gene expressed in prostate homolog) (Transmembrane protein 16G),Ano7 Ngep Tmem16g,Mus musculus (Mouse),859
Sept2,P42208,SEPT2_MOUSE,reviewed,Septin-2 (Neural precursor cell expressed developmentally down-regulated protein 5) (NEDD-5),Septin2 Nedd5 Sept2,Mus musculus (Mouse),361
Bok,O35425,BOK_MOUSE,reviewed,Bcl-2-related ovarian killer protein (Apoptosis activator Mtd) (Protein matador),Bok Mtd,Mus musculus (Mouse),213
Atg4b,Q8BGE6,ATG4B_MOUSE,reviewed,Cysteine protease ATG4B (EC 3.4.22.-) (AUT-like 1 cysteine endopeptidase) (Autophagin-1) (Autophagy-related cysteine endopeptidase 1) (Autophagy-related protein 4 homolog B),Atg4b Apg4b Autl1 Kiaa0943,Mus musculus (Mouse),393
Gin1,Q8K259,GIN1_MOUSE,reviewed,Gypsy retrotransposon integrase-like protein 1 (GIN-1) (Zinc finger H2C2 domain-containing protein),Gin1 Zh2c2,Mus musculus (Mouse),518
Tnfrsf11a,O35305,TNR11_MOUSE,reviewed,Tumor necrosis factor receptor superfamily member 11A (Osteoclast differentiation factor receptor) (ODFR) (Receptor activator of NF-KB) (CD antigen CD265),Tnfrsf11a Rank,Mus musculus (Mouse),625
Zcchc2,Q69ZB8,ZCHC2_MOUSE,reviewed,Zinc finger CCHC domain-containing protein 2,Zcchc2 Kiaa1744,Mus musculus (Mouse),1166
Phlpp1,Q8CHE4,PHLP1_MOUSE,reviewed,PH domain leucine-rich repeat-containing protein phosphatase 1 (EC 3.1.3.16) (Pleckstrin homology domain-containing family E member 1) (PH domain-containing family E member 1) (Suprachiasmatic nucleus circadian oscillatory protein),Phlpp1 Kiaa0606 Phlpp Plekhe1 Scop,Mus musculus (Mouse),1687
Clasp1,Q80TV8,CLAP1_MOUSE,reviewed,CLIP-associating protein 1 (Cytoplasmic linker-associated protein 1),Clasp1 Kiaa0622,Mus musculus (Mouse),1535
Tfcp2l1,Q3UNW5,TF2L1_MOUSE,reviewed,Transcription factor CP2-like protein 1 (CP2-related transcriptional repressor 1) (CRTR-1),Tfcp2l1 Crtr1 Tcfcp2l1,Mus musculus (Mouse),479
Tmem185b,Q8R3R5,T185B_MOUSE,reviewed,Transmembrane protein 185B (Erythropoietin-induced EST 3-2) (Protein FAM11B),Tmem185b Ee3-2 Fam11b,Mus musculus (Mouse),350
Mgat5,Q8R4G6,MGT5A_MOUSE,reviewed,"Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A (EC 2.4.1.155) (Alpha-mannoside beta-1,6-N-acetylglucosaminyltransferase) (GlcNAc-T V) (GNT-V) (Mannoside acetylglucosaminyltransferase 5) (N-acetylglucosaminyl-transferase V) [Cleaved into: Secreted alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A (Secreted beta-1,6-N-acetylglucosaminyltransferase V) (Secreted GNT-V)]",Mgat5,Mus musculus (Mouse),740
Ccnt2,Q7TQK0,CCNT2_MOUSE,reviewed,Cyclin-T2 (CycT2),Ccnt2,Mus musculus (Mouse),723
Rab3gap1,Q80UJ7,RB3GP_MOUSE,reviewed,Rab3 GTPase-activating protein catalytic subunit (RAB3 GTPase-activating protein 130 kDa subunit) (Rab3-GAP p130) (Rab3-GAP),Rab3gap1 Kiaa0066 Rab3gap,Mus musculus (Mouse),981
Ubxn4,Q8VCH8,UBXN4_MOUSE,reviewed,UBX domain-containing protein 4 (Erasin) (UBX domain-containing protein 2),Ubxn4 Ubxd2 Ubxdc1,Mus musculus (Mouse),506
Pigr,O70570,PIGR_MOUSE,reviewed,Polymeric immunoglobulin receptor (PIgR) (Poly-Ig receptor) [Cleaved into: Secretory component],Pigr,Mus musculus (Mouse),771
Eif2d,Q61211,EIF2D_MOUSE,reviewed,Eukaryotic translation initiation factor 2D (eIF2D) (Ligatin),Eif2d Lgtn,Mus musculus (Mouse),570
Ctse,P70269,CATE_MOUSE,reviewed,Cathepsin E (EC 3.4.23.34),Ctse,Mus musculus (Mouse),397
Nucks1,Q80XU3,NUCKS_MOUSE,reviewed,Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1 (JC7),Nucks1 Nucks,Mus musculus (Mouse),234
Elk4,P41158,ELK4_MOUSE,reviewed,ETS domain-containing protein Elk-4 (Serum response factor accessory protein 1) (SAP-1) (SRF accessory protein 1),Elk4 Sap1,Mus musculus (Mouse),430
Nuak2,Q8BZN4,NUAK2_MOUSE,reviewed,NUAK family SNF1-like kinase 2 (EC 2.7.11.1) (Omphalocele kinase 2),Nuak2 Omphk2,Mus musculus (Mouse),639
Dstyk,Q6XUX1,DUSTY_MOUSE,reviewed,Dual serine/threonine and tyrosine protein kinase (EC 2.7.12.1) (Dusty protein kinase) (Dusty PK) (Receptor-interacting serine/threonine-protein kinase 5),Dstyk Ripk5,Mus musculus (Mouse),927
Ppp1r15b,Q8BFW3,PR15B_MOUSE,reviewed,Protein phosphatase 1 regulatory subunit 15B (Constitutive repressor of eIF2alpha phosphorylation) (CReP),Ppp1r15b,Mus musculus (Mouse),697
Plekha6,Q7TQG1,PKHA6_MOUSE,reviewed,Pleckstrin homology domain-containing family A member 6 (PH domain-containing family A member 6) (Phosphoinositol 3-phosphate-binding protein 3) (PEPP-3),Plekha6 Pepp3,Mus musculus (Mouse),1173
Adipor1,Q91VH1,PAQR1_MOUSE,reviewed,Adiponectin receptor protein 1 (Progestin and adipoQ receptor family member 1) (Progestin and adipoQ receptor family member I),Adipor1 Parq1,Mus musculus (Mouse),375
Rabif,Q91X96,MSS4_MOUSE,reviewed,Guanine nucleotide exchange factor MSS4 (Rab-interacting factor),Rabif,Mus musculus (Mouse),123
Lad1,P57016,LAD1_MOUSE,reviewed,Ladinin-1 (Lad-1) (Linear IgA disease antigen homolog) (LADA),Lad1,Mus musculus (Mouse),528
Kif21b,Q9QXL1,KI21B_MOUSE,reviewed,Kinesin-like protein KIF21B (Kinesin-like protein KIF6),Kif21b Kif6,Mus musculus (Mouse),1668
Dennd1b,Q3U1T9,DEN1B_MOUSE,reviewed,DENN domain-containing protein 1B (Connecdenn 2),Dennd1b,Mus musculus (Mouse),766
Zbtb41,Q811F1,ZBT41_MOUSE,reviewed,Zinc finger and BTB domain-containing protein 41,Zbtb41,Mus musculus (Mouse),908
Tpr,F6ZDS4,TPR_MOUSE,reviewed,Nucleoprotein TPR (NPC-associated intranuclear protein) (Translocated promoter region and nuclear basket protein),Tpr,Mus musculus (Mouse),2431
Ivns1abp,Q920Q8,NS1BP_MOUSE,reviewed,Influenza virus NS1A-binding protein homolog (NS1-BP) (NS1-binding protein homolog) (Kelch family protein Nd1-L) (ND1-L2) (Nd1-S),Ivns1abp Kiaa0850 Nd1 Nd1L Nd1S Ns1 Ns1bp,Mus musculus (Mouse),642
Fam129a,Q3UW53,NIBA1_MOUSE,reviewed,Protein Niban 1 (Protein FAM129A) (Protein Niban),Niban1 Fam129a Niban,Mus musculus (Mouse),926
Ncf2,O70145,NCF2_MOUSE,reviewed,Neutrophil cytosol factor 2 (NCF-2) (67 kDa neutrophil oxidase factor) (NADPH oxidase activator 2) (Neutrophil NADPH oxidase factor 2) (p67-phox),Ncf2 Noxa2 P67phox,Mus musculus (Mouse),525
Rgs16,P97428,RGS16_MOUSE,reviewed,Regulator of G-protein signaling 16 (RGS16) (A28-RGS14P) (Retinal-specific RGS) (RGS-r) (Retinally abundant regulator of G-protein signaling),Rgs16 Rgsr,Mus musculus (Mouse),201
Rnasel,Q05921,RN5A_MOUSE,reviewed,2-5A-dependent ribonuclease (2-5A-dependent RNase) (EC 3.1.26.-) (Ribonuclease 4) (Ribonuclease L) (RNase L),Rnasel Rns4,Mus musculus (Mouse),735
Glul,P15105,GLNA_MOUSE,reviewed,Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Palmitoyltransferase GLUL) (EC 2.3.1.225),Glul Glns,Mus musculus (Mouse),373
Tor1aip2,Q8BYU6,TOIP2_MOUSE,reviewed,Torsin-1A-interacting protein 2,Tor1aip2 Ifrg15 Lull1,Mus musculus (Mouse),502
Tor1aip2,Q9ER81,IFG15_MOUSE,reviewed,"Torsin-1A-interacting protein 2, isoform IFRG15 (15 kDa interferon-responsive protein) (IFRG15)",Tor1aip2 Ifrg15,Mus musculus (Mouse),131
Abl2,Q4JIM5,ABL2_MOUSE,reviewed,Tyrosine-protein kinase ABL2 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 2) (Abelson tyrosine-protein kinase 2) (Abelson-related gene protein) (Tyrosine-protein kinase ARG),Abl2 Arg,Mus musculus (Mouse),1182
Kifap3,P70188,KIFA3_MOUSE,reviewed,Kinesin-associated protein 3 (KAP-3) (KAP3),Kifap3,Mus musculus (Mouse),793
Scyl3,Q9DBQ7,PACE1_MOUSE,reviewed,Protein-associating with the carboxyl-terminal domain of ezrin (Ezrin-binding protein PACE-1) (SCY1-like protein 3),Scyl3 Pace1,Mus musculus (Mouse),735
Slc19a2,Q9EQN9,S19A2_MOUSE,reviewed,Thiamine transporter 1 (ThTr-1) (Solute carrier family 19 member 2),Slc19a2,Mus musculus (Mouse),498
Gpa33,Q9JKA5,GPA33_MOUSE,reviewed,Cell surface A33 antigen (Glycoprotein A33) (mA33),Gpa33,Mus musculus (Mouse),319
B4galt3,Q91YY2,B4GT3_MOUSE,reviewed,"Beta-1,4-galactosyltransferase 3 (Beta-1,4-GalTase 3) (Beta4Gal-T3) (b4Gal-T3) (EC 2.4.1.-) (Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase) (Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase) (EC 2.4.1.38) (N-acetyllactosamine synthase) (EC 2.4.1.90) (Nal synthase) (Neolactotriaosylceramide beta-1,4-galactosyltransferase) (EC 2.4.1.275) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 3) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 3)",B4galt3,Mus musculus (Mouse),395
Dedd,Q9Z1L3,DEDD_MOUSE,reviewed,Death effector domain-containing protein (DEDPro1),Dedd,Mus musculus (Mouse),318
Pvrl4,Q8R007,NECT4_MOUSE,reviewed,Nectin-4 (Ig superfamily receptor LNIR) (Nectin cell adhesion molecule 4) (Poliovirus receptor-related protein 4),Nectin4 Lnir Prr4 Pvrl4,Mus musculus (Mouse),508
F11r,O88792,JAM1_MOUSE,reviewed,Junctional adhesion molecule A (JAM-A) (Junctional adhesion molecule 1) (JAM-1) (CD antigen CD321),F11r Jam1 Jcam Jcam1,Mus musculus (Mouse),300
Copa,Q8CIE6,COPA_MOUSE,reviewed,Coatomer subunit alpha (Alpha-coat protein) (Alpha-COP) [Cleaved into: Xenin (Xenopsin-related peptide); Proxenin],Copa,Mus musculus (Mouse),1224
Dcaf8,Q8N7N5,DCAF8_MOUSE,reviewed,DDB1- and CUL4-associated factor 8 (WD repeat-containing protein 42A),Dcaf8 D1Ucla4 H326 Wdr42a,Mus musculus (Mouse),591
Igsf8,Q8R366,IGSF8_MOUSE,reviewed,Immunoglobulin superfamily member 8 (IgSF8) (CD81 partner 3) (Glu-Trp-Ile EWI motif-containing protein 2) (EWI-2) (Keratinocyte-associated transmembrane protein 4) (KCT-4) (Prostaglandin regulatory-like protein) (PGRL) (CD antigen CD316),Igsf8 Ewi2 Kct4 Pgrl,Mus musculus (Mouse),611
Pigm,Q8C2R7,PIGM_MOUSE,reviewed,GPI mannosyltransferase 1 (EC 2.4.1.-) (GPI mannosyltransferase I) (GPI-MT-I) (Phosphatidylinositol-glycan biosynthesis class M protein) (PIG-M),Pigm,Mus musculus (Mouse),423
Igsf9,Q05BQ1,TUTLA_MOUSE,reviewed,Protein turtle homolog A (Dendrite arborization and synapse maturation protein 1) (Immunoglobulin superfamily member 9A) (IgSF9A),Igsf9 Dasm1 Igsf9a Nrt1,Mus musculus (Mouse),1179
Aim2,Q91VJ1,AIM2_MOUSE,reviewed,Interferon-inducible protein AIM2 (Interferon-inducible protein 210) (Ifi-210) (Interferon-inducible protein p210),Aim2 Gm1313 Ifi210,Mus musculus (Mouse),354
Zbtb18,Q9WUK6,ZBT18_MOUSE,reviewed,Zinc finger and BTB domain-containing protein 18 (58 kDa repressor protein) (Transcriptional repressor RP58) (Zinc finger protein 238) (Zfp-238),Zbtb18 Rp58 Zfp238 Znf238,Mus musculus (Mouse),522
Desi2,Q9D291,DESI2_MOUSE,reviewed,Deubiquitinase DESI2 (EC 3.4.19.12) (Desumoylating isopeptidase 2) (DeSI-2) (PPPDE peptidase domain-containing protein 1) (Protein FAM152A),Desi2 Fam152a Pppde1,Mus musculus (Mouse),194
